x,y
1.014002212763322197e-01,9.969289047579266150e-03
1.032948062050206839e-01,5.340439149807615742e-03
1.051893911337091758e-01,7.115892520359358431e-04
1.070839760623975984e-01,-3.917260645735644309e-03
1.089785609910860625e-01,-8.546110543507295584e-03
1.108731459197745545e-01,-1.317496044127901625e-02
1.127677308484630325e-01,-1.780381033905069355e-02
1.146623157771514828e-01,-2.243266023682235003e-02
1.165569007058399331e-01,-2.706151013459399957e-02
1.184514856345283557e-01,-3.169036003236554849e-02
1.203460705632168060e-01,-3.631920993013720150e-02
1.222406554919052979e-01,-4.094805982790887533e-02
1.241352404205937759e-01,-4.557690972568056303e-02
1.260298253492822540e-01,-5.020575962345221604e-02
1.279244102779707182e-01,-5.483460952122393844e-02
1.298189952066592101e-01,-5.946345941899561227e-02
1.317135801353476188e-01,-6.409230931676715426e-02
1.336081650640360829e-01,-6.872115921453882115e-02
1.355027499927245471e-01,-7.335000911231046028e-02
1.373973349214130113e-01,-7.797885901008214105e-02
1.392919198501014755e-01,-8.260770890785382181e-02
1.411865047787899674e-01,-8.723655880562548870e-02
1.430810897074784316e-01,-9.186540870339721110e-02
1.449756746361668958e-01,-9.649425860116878084e-02
1.468702595648553322e-01,-1.011231084989404755e-01
1.487648444935438241e-01,-1.057519583967121979e-01
1.506594294222322883e-01,-1.103808082944838370e-01
1.525540143509207802e-01,-1.150096581922555317e-01
1.544485992796092444e-01,-1.196385080900271985e-01
1.536668397728984947e-01,-1.224709371385972884e-01
1.486652696766074255e-01,-1.224709371385972884e-01
1.436636995803163008e-01,-1.224709371385973022e-01
1.386621294840251206e-01,-1.224709371385972884e-01
1.336605593877339959e-01,-1.224709371385973022e-01
1.286589892914428157e-01,-1.224709371385972745e-01
1.236574191951516632e-01,-1.224709371385972884e-01
1.186558490988606218e-01,-1.224709371385972884e-01
1.136542790025694416e-01,-1.224709371385973022e-01
1.097851986719240724e-01,-1.208207184996328981e-01
1.079863604682750056e-01,-1.161538261133433364e-01
1.061875222646259109e-01,-1.114869337270537886e-01
1.043886840609768440e-01,-1.068200413407642269e-01
1.025898458573277772e-01,-1.021531489544746513e-01
1.007910076536787380e-01,-9.748625656818518670e-02
9.899216945002964341e-02,-9.281936418189563887e-02
9.719333124638059040e-02,-8.815247179560606328e-02
9.539449304273152352e-02,-8.348557940931650156e-02
9.359565483908244277e-02,-7.881868702302693985e-02
9.179681663543334813e-02,-7.415179463673737814e-02
8.999797843178429513e-02,-6.948490225044783031e-02
8.819914022813526988e-02,-6.481800986415835186e-02
8.640030202448614749e-02,-6.015111747786879015e-02
8.460146382083712224e-02,-5.548422509157923538e-02
8.280262561718804148e-02,-5.081733270528966673e-02
8.100378741353894685e-02,-4.615044031900010502e-02
7.920494920988987997e-02,-4.148354793271055718e-02
7.740611100624081309e-02,-3.681665554642098853e-02
7.560727280259176009e-02,-3.214976316013153090e-02
7.100099910074617049e-02,-3.157375311764119841e-02
6.599942900445496252e-02,-3.157375311764118453e-02
6.099785890816375455e-02,-3.157375311764118453e-02
5.599628881187251883e-02,-3.157375311764118453e-02
5.099471871558131086e-02,-3.157375311764118453e-02
4.599314861929018616e-02,-3.157375311764119147e-02
4.099157852299895738e-02,-3.157375311764118453e-02
3.599000842670774247e-02,-3.157375311764119841e-02
3.098843833041650675e-02,-3.157375311764119841e-02
2.598686823412529878e-02,-3.157375311764119841e-02
2.098529813783409081e-02,-3.157375311764117759e-02
1.598372804154288285e-02,-3.157375311764117759e-02
1.098215794525178590e-02,-3.157375311764118453e-02
5.980587848960550179e-03,-3.157375311764118453e-02
9.790177526693328875e-04,-3.157375311764119147e-02
-4.022552343621893511e-03,-3.157375311764118453e-02
-9.024122439913118826e-03,-3.157375311764117759e-02
-1.402569253620434588e-02,-3.157375311764117759e-02
-1.902726263249554517e-02,-3.157375311764119841e-02
-2.402883272878665599e-02,-3.157375311764118453e-02
-2.903040282507788478e-02,-3.157375311764117759e-02
-3.403197292136909968e-02,-3.157375311764118453e-02
-3.903354301766032153e-02,-3.157375311764118453e-02
-4.403511311395154337e-02,-3.157375311764118453e-02
-4.903668321024275134e-02,-3.157375311764118453e-02
-5.139412829816045192e-02,-3.534691175847615163e-02
-5.310120437299703511e-02,-4.004814507568481979e-02
-5.480828044783364605e-02,-4.474937839289359898e-02
-5.651535652267027088e-02,-4.945061171010237122e-02
-5.822243259750688182e-02,-5.415184502731115734e-02
-5.992950867234349277e-02,-5.885307834451993653e-02
-6.163658474718011759e-02,-6.355431166172872959e-02
-6.334366082201672854e-02,-6.825554497893748795e-02
